Sample_info	Sample	has_blood	has_GingisKHAN	h9C12-Q97A	h9C12-Q97A_HC	h9C12_LC	concentration_h9C12-Q97A	h9C12-WT	h9C12-WT_HC	concentration_h9C12-WT	Brimab	Brimab_HC	Brimab_LC	concentration_Brimab	PGDM1400	PGDM1400_HC	PGDM1400_LC	concentration_PGDM1400	PGT121	PGT121_HC	PGT121_LC	concentration_PGT121	Umab	Umab_HC	Umab_LC	concentration_Umab	n_abs
1000 ng blood-isolated hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	1	TRUE	FALSE	TRUE	TRUE	TRUE	1	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	2	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	3	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	4	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	1
1000 ng blood-isolated hIgG1 + 1 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	5	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	6	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	7	TRUE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng blood-isolated hIgG1 + 1 ng PGDM1400 hIgG1 + 1 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	8	TRUE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	6
1000 ng blood-isolated hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	9	TRUE	FALSE	TRUE	TRUE	TRUE	10	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	10	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	11	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	12	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	1
1000 ng blood-isolated hIgG1 + 10 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	13	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	14	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 10 ng h9C12 WT hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	15	TRUE	FALSE	TRUE	TRUE	TRUE	10	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng blood-isolated hIgG1 + 10 ng PGDM1400 hIgG1 + 10 ng PGT121 hIgG1 + 10 ng Ustekinumab hIgG1 + 10 ng Briakinumab hIgG1 + 10 ng h9C12 WT hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	16	TRUE	FALSE	TRUE	TRUE	TRUE	10	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	6
1000 ng blood-isolated hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	17	TRUE	FALSE	TRUE	TRUE	TRUE	100	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 100 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	18	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 100 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	19	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 100 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	20	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	1
1000 ng blood-isolated hIgG1 + 100 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	21	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 100 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	22	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 100 ng h9C12 WT hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	23	TRUE	FALSE	TRUE	TRUE	TRUE	100	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng blood-isolated hIgG1 + 100 ng PGDM1400 hIgG1 + 100 ng PGT121 hIgG1 + 100 ng Ustekinumab hIgG1 + 100 ng Briakinumab hIgG1 + 100 ng h9C12 WT hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	24	TRUE	FALSE	TRUE	TRUE	TRUE	100	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	6
1000 ng blood-isolated hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	25	TRUE	FALSE	TRUE	TRUE	TRUE	1000	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1000 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	26	TRUE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1000 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	27	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1000 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	28	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	1
1000 ng blood-isolated hIgG1 + 1000 ng PGT121 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	29	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	30	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	31	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1	4
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 100 ng Ustekinumab hIgG1 + 100 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	32	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	100	4
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	33	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	4
1000 ng blood-isolated hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	34	TRUE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	35	TRUE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	6
1 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	36	FALSE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
10 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	37	FALSE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
100 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	38	FALSE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng h9C12 WT hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	39	FALSE	FALSE	FALSE	FALSE	TRUE	0	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	40	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	1
10 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	41	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	1
100 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	42	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	1
1000 ng Ustekinumab hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	43	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	1
1 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	44	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
10 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	45	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
100 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	46	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng PGDM1400 hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	47	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	TRUE	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	1
1000 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	48	FALSE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng h9C12 WT hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	49	FALSE	FALSE	TRUE	TRUE	TRUE	10	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng h9C12 WT hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	50	FALSE	FALSE	TRUE	TRUE	TRUE	100	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	51	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
10 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	52	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	10	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
100 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	53	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	100	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	54	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	2
1 ng PGDM1400 hIgG1 + 1 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	55	FALSE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	6
10 ng PGDM1400 hIgG1 + 10 ng PGT121 hIgG1 + 10 ng Ustekinumab hIgG1 + 10 ng Briakinumab hIgG1 + 10 ng h9C12 WT hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	56	FALSE	FALSE	TRUE	TRUE	TRUE	10	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	10	6
100 ng PGDM1400 hIgG1 + 100 ng PGT121 hIgG1 + 100 ng Ustekinumab hIgG1 + 100 ng Briakinumab hIgG1 + 100 ng h9C12 WT hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	57	FALSE	FALSE	TRUE	TRUE	TRUE	100	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	100	6
1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	58	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	6
1000 ng PGDM1400 hIgG1 + 1 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	59	FALSE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1000	6
1 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	60	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1	6
1000 ng PGDM1400 hIgG1 + 10 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 10 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 10 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	61	FALSE	FALSE	TRUE	TRUE	TRUE	10	TRUE	TRUE	1000	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	1000	6
10 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 10 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 10 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	62	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	10	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	10	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	10	6
1000 ng PGDM1400 hIgG1 + 100 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 100 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 100 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	63	FALSE	FALSE	TRUE	TRUE	TRUE	100	TRUE	TRUE	1000	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	1000	6
100 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 100 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 100 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	64	FALSE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	100	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	100	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	100	6
1000 ng blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate. Fc removal by GingisKHAN treatment	65	TRUE	TRUE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	6
1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate. Fc removal by GingisKHAN treatment	66	FALSE	TRUE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	6
1 ng blood-isolated hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	67	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	0
1000 ng blood-isolated hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	68	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE	0	0
50 μg blood-isolated hIgG1 + 1 ng PGDM1400 hIgG1 + 1 ng PGT121 hIgG1 + 1 ng Ustekinumab hIgG1 + 1 ng Briakinumab hIgG1 + 1 ng h9C12 WT hIgG1 + 1 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	69	TRUE	FALSE	TRUE	TRUE	TRUE	1	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	TRUE	TRUE	TRUE	1	6
50 μg blood-isolated hIgG1 + 1000 ng PGDM1400 hIgG1 + 1000 ng PGT121 hIgG1 + 1000 ng Ustekinumab hIgG1 + 1000 ng Briakinumab hIgG1 + 1000 ng h9C12 WT hIgG1 + 1000 ng h9C12 Q97A hIgG1 in 100 μL of 0.1M Ammonium bicarbonate.	70	TRUE	FALSE	TRUE	TRUE	TRUE	1000	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	TRUE	TRUE	TRUE	1000	6
